ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:13:19-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T12:15:02-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T12:19:42-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T12:25:34-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T12:25:42-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"DebounceError"}} 
ERROR: 2020-10-27T12:25:42-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"DebounceError"}} 
ERROR: 2020-10-27T12:25:43-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"DebounceError"}} 
